"Date","HBName","BNFcompound","StandardisedQuantityPrescribedPerMonth","month"
2023-10-01,"Forth Valley","Azithromycin",4.10765759088139,10
2023-11-01,"Forth Valley","Azithromycin",3.8100179539128,11
2023-12-01,"Forth Valley","Azithromycin",4.27023109485925,12
2024-01-01,"Forth Valley","Azithromycin",4.30086804697666,1
2024-02-01,"Forth Valley","Azithromycin",4.76025761394146,2
2024-03-01,"Forth Valley","Azithromycin",4.27171352802622,3
2024-04-01,"Forth Valley","Azithromycin",4.05478414125941,4
2024-05-01,"Forth Valley","Azithromycin",5.14058407866779,5
2024-06-01,"Forth Valley","Azithromycin",4.4108975309252,6
2024-07-01,"Forth Valley","Azithromycin",5.03187231308988,7
2024-08-01,"Forth Valley","Azithromycin",4.68827724794518,8
2024-09-01,"Forth Valley","Azithromycin",4.49094892194166,9
2024-10-01,"Forth Valley","Azithromycin",5.17912734100904,10
2024-11-01,"Forth Valley","Azithromycin",4.51927986691044,11
2024-12-01,"Forth Valley","Azithromycin",5.42438767274464,12
2019-01-01,"Grampian","Azithromycin",4.9984419178419,1
2019-02-01,"Grampian","Azithromycin",4.59559906114829,2
2019-03-01,"Grampian","Azithromycin",4.61644019680436,3
2019-04-01,"Grampian","Azithromycin",4.75812561286947,4
2019-05-01,"Grampian","Azithromycin",4.91036024574815,5
2019-06-01,"Grampian","Azithromycin",4.99801308789013,6
2019-07-01,"Grampian","Azithromycin",5.31749140195947,7
2019-08-01,"Grampian","Azithromycin",4.4441363221828,8
2019-09-01,"Grampian","Azithromycin",4.8293971508538,9
2019-10-01,"Grampian","Azithromycin",5.07503094722819,10
2019-11-01,"Grampian","Azithromycin",4.46497745783887,11
2019-12-01,"Grampian","Azithromycin",5.64211567545006,12
2020-01-01,"Grampian","Azithromycin",4.64028314212282,1
2020-02-01,"Grampian","Azithromycin",3.90792735048844,2
2020-03-01,"Grampian","Azithromycin",5.83097238620997,3
2020-04-01,"Grampian","Azithromycin",4.72399074870851,4
2020-05-01,"Grampian","Azithromycin",4.47767082441129,5
2020-06-01,"Grampian","Azithromycin",4.52381292722184,6
2020-07-01,"Grampian","Azithromycin",5.14518752733791,7
2020-08-01,"Grampian","Azithromycin",4.27174668157089,8
2020-09-01,"Grampian","Azithromycin",4.72836481421657,9
2020-10-01,"Grampian","Azithromycin",4.49044995697406,10
2020-11-01,"Grampian","Azithromycin",4.77073321345154,11
2020-12-01,"Grampian","Azithromycin",5.43636306459037,12
